"participant","predicate","predicate_number","response"
1,"prove",2,0.58
1,"be annoyed",9,0.47
1,"discover",14,0.67
1,"acknowledge",5,0.72
1,"pretend",15,0.67
1,"know",11,0.68
1,"hear",16,0.76
1,"suggest",17,0.7
1,"announce",10,0.78
1,"confirm",4,0.69
1,"think",7,0.77
1,"establish",1,0.82
1,"inform",12,0.74
1,"be right",6,0.7
1,"demonstrate",18,0.81
1,"admit",13,0.76
1,"say",8,0.69
1,"reveal",3,0.75
1,"see",19,0.8
1,"confess",20,0.73
12,"see",19,0.56
12,"hear",16,0.75
12,"establish",1,0.53
12,"discover",14,0.68
12,"be right",6,0.46
12,"confess",20,0.79
12,"acknowledge",5,0.62
12,"demonstrate",18,0.75
12,"confirm",4,0.77
12,"inform",12,0.56
12,"announce",10,0.77
12,"know",11,0.6
12,"suggest",17,0.85
12,"admit",13,0.65
12,"prove",2,0.9
12,"pretend",15,0.64
12,"reveal",3,0.82
12,"be annoyed",9,0.72
12,"think",7,0.76
12,"say",8,0.55
23,"see",19,0.88
23,"acknowledge",5,0.98
23,"say",8,0.28
23,"reveal",3,0.63
23,"know",11,0.78
23,"think",7,0.14
23,"prove",2,0.33
23,"admit",13,0.84
23,"be right",6,0.08
23,"hear",16,0.64
23,"announce",10,0.49
23,"confess",20,0.35
23,"discover",14,0.79
23,"be annoyed",9,0.88
23,"confirm",4,0.57
23,"pretend",15,0.3
23,"inform",12,0.82
23,"suggest",17,0.35
23,"establish",1,0.55
23,"demonstrate",18,0.3
34,"admit",13,0.57
34,"discover",14,0.4
34,"be annoyed",9,0.77
34,"say",8,0.41
34,"prove",2,0.27
34,"know",11,0.33
34,"see",19,0.27
34,"confirm",4,0.57
34,"demonstrate",18,0.35
34,"be right",6,0.36
34,"hear",16,0.66
34,"think",7,0.25
34,"acknowledge",5,0.28
34,"pretend",15,0.29
34,"announce",10,0.13
34,"suggest",17,0.4
34,"reveal",3,0.65
34,"establish",1,0.4
34,"inform",12,0.31
34,"confess",20,0.43
45,"admit",13,0.7
45,"see",19,0.06
45,"acknowledge",5,1
45,"suggest",17,0.46
45,"discover",14,0.83
45,"be annoyed",9,0.98
45,"confess",20,0.35
45,"hear",16,0.62
45,"know",11,0.85
45,"establish",1,0.05
45,"think",7,0
45,"say",8,0
45,"reveal",3,0.49
45,"be right",6,0
45,"inform",12,0.92
45,"prove",2,0
45,"announce",10,0.06
45,"confirm",4,0
45,"pretend",15,0.2
45,"demonstrate",18,0
47,"confirm",4,0.72
47,"demonstrate",18,0.93
47,"announce",10,0.25
47,"confess",20,0.28
47,"reveal",3,0.62
47,"say",8,0.36
47,"admit",13,0.77
47,"hear",16,0.63
47,"discover",14,0.35
47,"be right",6,0.11
47,"establish",1,0.31
47,"prove",2,0.26
47,"suggest",17,0.11
47,"pretend",15,0.22
47,"know",11,0.34
47,"be annoyed",9,0.67
47,"acknowledge",5,0.34
47,"think",7,0.18
47,"see",19,0.32
47,"inform",12,0.65
48,"hear",16,0.87
48,"acknowledge",5,0.95
48,"prove",2,0.2
48,"think",7,0.15
48,"establish",1,0.33
48,"announce",10,0.58
48,"be annoyed",9,0.89
48,"see",19,0.77
48,"confirm",4,0.24
48,"be right",6,0.22
48,"pretend",15,0.19
48,"say",8,0.18
48,"confess",20,0.59
48,"reveal",3,0.85
48,"inform",12,0.92
48,"suggest",17,0.39
48,"discover",14,0.58
48,"know",11,0.91
48,"admit",13,0.99
48,"demonstrate",18,0.78
49,"reveal",3,0
49,"admit",13,0.22
49,"confess",20,0.56
49,"think",7,0
49,"prove",2,0
49,"see",19,0.88
49,"be right",6,1
49,"hear",16,1
49,"inform",12,1
49,"establish",1,1
49,"suggest",17,0.3
49,"discover",14,1
49,"announce",10,1
49,"say",8,0.15
49,"confirm",4,0
49,"be annoyed",9,1
49,"know",11,1
49,"demonstrate",18,0.51
49,"pretend",15,0.04
49,"acknowledge",5,0.94
2,"know",11,0.95
2,"say",8,0.1
2,"admit",13,0.95
2,"demonstrate",18,0.3
2,"announce",10,0.68
2,"confirm",4,0.15
2,"think",7,0.12
2,"be annoyed",9,0.81
2,"pretend",15,0.61
2,"inform",12,0.91
2,"discover",14,0.99
2,"prove",2,0.23
2,"reveal",3,0.73
2,"establish",1,0.49
2,"acknowledge",5,0.72
2,"see",19,0.93
2,"hear",16,0.7
2,"be right",6,0.18
2,"confess",20,0.95
2,"suggest",17,0.2
3,"confess",20,0.91
3,"know",11,0.58
3,"think",7,0.81
3,"pretend",15,0.67
3,"hear",16,0.82
3,"announce",10,0.92
3,"acknowledge",5,0.33
3,"confirm",4,0.75
3,"reveal",3,0.84
3,"admit",13,0.84
3,"inform",12,0.73
3,"establish",1,0.75
3,"prove",2,0.67
3,"discover",14,0.79
3,"be right",6,0.69
3,"demonstrate",18,0.83
3,"suggest",17,0.73
3,"say",8,0.73
3,"see",19,0.55
3,"be annoyed",9,0.77
4,"inform",12,0.98
4,"announce",10,0.13
4,"know",11,0.9
4,"think",7,0.01
4,"reveal",3,0.55
4,"discover",14,0.04
4,"confess",20,0.77
4,"admit",13,0.09
4,"suggest",17,0.74
4,"be right",6,0.88
4,"demonstrate",18,0.25
4,"confirm",4,0.39
4,"establish",1,0.92
4,"acknowledge",5,0.87
4,"prove",2,0.95
4,"hear",16,0.21
4,"see",19,0.53
4,"be annoyed",9,0.98
4,"say",8,0.61
4,"pretend",15,0.16
5,"know",11,0.77
5,"confirm",4,0.39
5,"hear",16,0.73
5,"pretend",15,0.25
5,"discover",14,0.43
5,"prove",2,0.25
5,"reveal",3,0.71
5,"see",19,0.76
5,"suggest",17,0.78
5,"demonstrate",18,0.49
5,"say",8,0.48
5,"confess",20,0.71
5,"announce",10,0.53
5,"be right",6,0.23
5,"establish",1,0.47
5,"admit",13,0.35
5,"inform",12,0.2
5,"think",7,0.57
5,"be annoyed",9,0.47
5,"acknowledge",5,0.38
6,"demonstrate",18,0.56
6,"hear",16,0.34
6,"establish",1,0.82
6,"confess",20,0.29
6,"pretend",15,0.7
6,"inform",12,0.79
6,"prove",2,0.29
6,"be right",6,0.76
6,"admit",13,0.6
6,"suggest",17,0.4
6,"announce",10,0.64
6,"think",7,0.79
6,"know",11,0.69
6,"say",8,0.61
6,"be annoyed",9,0.61
6,"confirm",4,0.32
6,"see",19,0.31
6,"discover",14,0.71
6,"acknowledge",5,0.55
6,"reveal",3,0.6
7,"demonstrate",18,0.72
7,"confirm",4,0.87
7,"know",11,0.64
7,"say",8,0.82
7,"think",7,0.63
7,"acknowledge",5,0.86
7,"be right",6,0.42
7,"be annoyed",9,0.69
7,"inform",12,0.83
7,"suggest",17,0.51
7,"discover",14,0.8
7,"hear",16,0.77
7,"reveal",3,0.79
7,"prove",2,0.79
7,"see",19,0.79
7,"pretend",15,0.72
7,"confess",20,0.8
7,"admit",13,0.79
7,"announce",10,0.7
7,"establish",1,0.84
8,"hear",16,0.99
8,"know",11,0.95
8,"establish",1,0.98
8,"discover",14,1
8,"confess",20,0.98
8,"prove",2,0.97
8,"pretend",15,0.99
8,"confirm",4,0.97
8,"think",7,0.96
8,"say",8,0.97
8,"see",19,0.96
8,"announce",10,0.98
8,"be annoyed",9,0.96
8,"demonstrate",18,0.97
8,"suggest",17,0.99
8,"admit",13,0.98
8,"inform",12,0.97
8,"acknowledge",5,0.98
8,"reveal",3,0.98
8,"be right",6,0.93
9,"demonstrate",18,0.9
9,"inform",12,0.86
9,"hear",16,0.79
9,"say",8,0.5
9,"see",19,0.81
9,"acknowledge",5,0.51
9,"prove",2,0.74
9,"pretend",15,0.84
9,"announce",10,0.51
9,"confirm",4,0.54
9,"admit",13,0.79
9,"suggest",17,0.22
9,"be right",6,0.76
9,"discover",14,0.44
9,"establish",1,0.25
9,"know",11,0.82
9,"confess",20,0.48
9,"reveal",3,0.52
9,"be annoyed",9,0.84
9,"think",7,0.45
10,"acknowledge",5,0.12
10,"pretend",15,0.6
10,"see",19,0.11
10,"be annoyed",9,1
10,"know",11,0.99
10,"announce",10,1
10,"confirm",4,0.25
10,"hear",16,1
10,"prove",2,0.19
10,"inform",12,0.98
10,"be right",6,0.13
10,"demonstrate",18,0.56
10,"think",7,0.48
10,"suggest",17,0.35
10,"reveal",3,0.74
10,"discover",14,0.58
10,"say",8,0.58
10,"admit",13,0.71
10,"establish",1,0.67
10,"confess",20,0.81
11,"announce",10,0.96
11,"reveal",3,0.95
11,"acknowledge",5,0.97
11,"confess",20,0.01
11,"be annoyed",9,0.98
11,"discover",14,0.97
11,"demonstrate",18,0.99
11,"establish",1,0.01
11,"pretend",15,0.98
11,"think",7,0
11,"suggest",17,0.01
11,"admit",13,0.01
11,"see",19,0.01
11,"say",8,0.09
11,"confirm",4,0.04
11,"prove",2,0.01
11,"hear",16,0.79
11,"know",11,0.5
11,"inform",12,0.68
11,"be right",6,0.88
13,"inform",12,0.85
13,"discover",14,0.15
13,"be right",6,0.92
13,"know",11,0.22
13,"confirm",4,0.71
13,"admit",13,0.21
13,"suggest",17,0.8
13,"acknowledge",5,0.12
13,"say",8,0.81
13,"demonstrate",18,0.19
13,"announce",10,0.81
13,"pretend",15,0.21
13,"reveal",3,0.85
13,"confess",20,0.93
13,"be annoyed",9,0.14
13,"hear",16,0.89
13,"see",19,0.13
13,"prove",2,0.88
13,"establish",1,0.17
13,"think",7,0.86
14,"demonstrate",18,0.23
14,"be annoyed",9,0.96
14,"hear",16,0.88
14,"acknowledge",5,0.86
14,"know",11,0.37
14,"confirm",4,0.24
14,"be right",6,0.13
14,"see",19,0.38
14,"establish",1,0.13
14,"confess",20,0.11
14,"suggest",17,0.14
14,"think",7,0.08
14,"discover",14,0.25
14,"inform",12,0.85
14,"admit",13,0.29
14,"prove",2,0.22
14,"say",8,0.17
14,"reveal",3,0.28
14,"pretend",15,0.13
14,"announce",10,0.3
15,"establish",1,0.79
15,"inform",12,0.71
15,"reveal",3,0.67
15,"confess",20,0.55
15,"hear",16,0.66
15,"confirm",4,0.6
15,"prove",2,0.71
15,"suggest",17,0.25
15,"acknowledge",5,0.58
15,"admit",13,0.49
15,"demonstrate",18,0.65
15,"announce",10,0.36
15,"be right",6,0.62
15,"think",7,0.34
15,"say",8,0.34
15,"be annoyed",9,0.35
15,"discover",14,0.75
15,"pretend",15,0.35
15,"know",11,0.65
15,"see",19,0.38
16,"establish",1,0.21
16,"acknowledge",5,0.83
16,"reveal",3,0.22
16,"confirm",4,0.79
16,"hear",16,0.71
16,"pretend",15,0.91
16,"see",19,0.31
16,"say",8,0.27
16,"discover",14,0.78
16,"admit",13,0.9
16,"suggest",17,0.21
16,"confess",20,0.82
16,"inform",12,0.31
16,"announce",10,0.8
16,"prove",2,0.28
16,"be right",6,0.81
16,"demonstrate",18,0.29
16,"know",11,0.85
16,"be annoyed",9,0.36
16,"think",7,0.79
17,"discover",14,0.86
17,"say",8,0.29
17,"reveal",3,0.81
17,"demonstrate",18,0.54
17,"know",11,0.7
17,"confess",20,0.18
17,"inform",12,0.77
17,"suggest",17,0.76
17,"acknowledge",5,0.86
17,"think",7,0.43
17,"pretend",15,0.69
17,"be right",6,0.9
17,"prove",2,0.69
17,"announce",10,0.33
17,"be annoyed",9,0.73
17,"establish",1,0.85
17,"confirm",4,0.34
17,"admit",13,0.74
17,"hear",16,0.92
17,"see",19,0.81
18,"admit",13,0.79
18,"reveal",3,0.82
18,"confirm",4,0.63
18,"say",8,0.75
18,"hear",16,0.8
18,"demonstrate",18,0.54
18,"see",19,0.8
18,"pretend",15,0.48
18,"think",7,0.76
18,"be right",6,0.68
18,"prove",2,0.64
18,"discover",14,0.66
18,"establish",1,0.76
18,"announce",10,0.8
18,"suggest",17,0.48
18,"acknowledge",5,0.73
18,"confess",20,0.78
18,"know",11,0.66
18,"be annoyed",9,0.78
18,"inform",12,0.61
19,"confess",20,0.84
19,"see",19,0.67
19,"hear",16,0.53
19,"discover",14,0.82
19,"confirm",4,0.65
19,"establish",1,0.85
19,"admit",13,0.79
19,"prove",2,0.75
19,"be right",6,0.72
19,"inform",12,0.75
19,"announce",10,0.84
19,"reveal",3,0.7
19,"say",8,0.8
19,"think",7,0.7
19,"know",11,0.54
19,"be annoyed",9,0.77
19,"demonstrate",18,0.67
19,"acknowledge",5,0.83
19,"suggest",17,0.8
19,"pretend",15,0.67
20,"see",19,0.65
20,"be annoyed",9,0.72
20,"know",11,0.63
20,"demonstrate",18,0.66
20,"admit",13,0.62
20,"be right",6,0.62
20,"discover",14,0.65
20,"suggest",17,0.66
20,"say",8,0.65
20,"hear",16,0.63
20,"inform",12,0.72
20,"pretend",15,0.72
20,"think",7,0.75
20,"confess",20,0.64
20,"confirm",4,0.67
20,"establish",1,0.69
20,"prove",2,0.72
20,"reveal",3,0.69
20,"announce",10,0.69
20,"acknowledge",5,0.68
21,"inform",12,0.75
21,"say",8,0.82
21,"demonstrate",18,0.73
21,"prove",2,0.68
21,"pretend",15,0.64
21,"discover",14,0.78
21,"confess",20,0.28
21,"be right",6,0.67
21,"hear",16,0.73
21,"reveal",3,0.24
21,"think",7,0.69
21,"acknowledge",5,0.3
21,"announce",10,0.68
21,"be annoyed",9,0.34
21,"confirm",4,0.3
21,"suggest",17,0.65
21,"establish",1,0.66
21,"see",19,0.42
21,"admit",13,0.67
21,"know",11,0.41
22,"reveal",3,0.75
22,"admit",13,0.85
22,"prove",2,0.81
22,"demonstrate",18,0.81
22,"acknowledge",5,0.81
22,"discover",14,0.89
22,"say",8,0.88
22,"confess",20,0.8
22,"be annoyed",9,0.81
22,"announce",10,0.86
22,"think",7,0.87
22,"know",11,0.85
22,"confirm",4,0.88
22,"pretend",15,0.91
22,"hear",16,0.88
22,"suggest",17,0.81
22,"establish",1,0.86
22,"inform",12,0.85
22,"see",19,0.86
22,"be right",6,0.85
24,"say",8,0.65
24,"confirm",4,0.29
24,"prove",2,0.84
24,"demonstrate",18,0.25
24,"see",19,0.24
24,"be right",6,0.82
24,"admit",13,0.89
24,"suggest",17,0.8
24,"confess",20,0.2
24,"establish",1,0.29
24,"announce",10,0.83
24,"be annoyed",9,0.32
24,"reveal",3,0.79
24,"know",11,0.33
24,"hear",16,0.75
24,"inform",12,0.79
24,"pretend",15,0.84
24,"acknowledge",5,0.79
24,"discover",14,0.29
24,"think",7,0.78
25,"reveal",3,0.91
25,"demonstrate",18,0.83
25,"confess",20,0.95
25,"pretend",15,0.14
25,"see",19,0.87
25,"know",11,0.97
25,"admit",13,0.89
25,"establish",1,0.78
25,"suggest",17,0.22
25,"announce",10,0.34
25,"say",8,0.18
25,"prove",2,0.11
25,"acknowledge",5,0.2
25,"inform",12,0.42
25,"confirm",4,0.09
25,"hear",16,0.77
25,"be annoyed",9,0.92
25,"discover",14,0.17
25,"think",7,0.05
25,"be right",6,0.07
26,"confirm",4,0.86
26,"hear",16,0.78
26,"prove",2,0.5
26,"announce",10,0.61
26,"demonstrate",18,0.74
26,"say",8,0.48
26,"discover",14,0.72
26,"inform",12,0.74
26,"know",11,0.57
26,"pretend",15,0.82
26,"be annoyed",9,0.62
26,"admit",13,0.79
26,"acknowledge",5,0.62
26,"be right",6,0.8
26,"see",19,0.88
26,"suggest",17,0.62
26,"reveal",3,0.76
26,"think",7,0.56
26,"confess",20,0.7
26,"establish",1,0.68
27,"confess",20,0.41
27,"prove",2,0.48
27,"hear",16,0.57
27,"demonstrate",18,0.66
27,"be annoyed",9,0.88
27,"confirm",4,0.28
27,"announce",10,0.77
27,"pretend",15,0.43
27,"establish",1,0.54
27,"reveal",3,0.64
27,"discover",14,0.85
27,"think",7,0.39
27,"be right",6,0.49
27,"inform",12,0.74
27,"say",8,0.39
27,"see",19,0.35
27,"acknowledge",5,0.64
27,"know",11,0.74
27,"suggest",17,0.53
27,"admit",13,0.65
28,"see",19,0.9
28,"be right",6,0.28
28,"announce",10,0.76
28,"discover",14,0.75
28,"confess",20,0.37
28,"know",11,0.77
28,"say",8,0.89
28,"prove",2,0.77
28,"demonstrate",18,0.87
28,"suggest",17,0.79
28,"pretend",15,0.72
28,"confirm",4,0.81
28,"admit",13,0.69
28,"acknowledge",5,0.8
28,"hear",16,0.56
28,"be annoyed",9,0.44
28,"establish",1,0.6
28,"inform",12,0.51
28,"think",7,0.69
28,"reveal",3,0.8
29,"be annoyed",9,0.92
29,"announce",10,0.08
29,"know",11,0.91
29,"see",19,0.9
29,"confirm",4,0.12
29,"think",7,0.06
29,"acknowledge",5,0.25
29,"establish",1,0.11
29,"be right",6,0.12
29,"say",8,0.11
29,"confess",20,0.23
29,"demonstrate",18,0.14
29,"inform",12,0.83
29,"hear",16,0.91
29,"discover",14,0.99
29,"reveal",3,0.76
29,"prove",2,0.17
29,"suggest",17,0.13
29,"admit",13,0.19
29,"pretend",15,0.08
30,"admit",13,0.89
30,"establish",1,0.24
30,"pretend",15,0.89
30,"demonstrate",18,0.53
30,"prove",2,0.91
30,"think",7,0.52
30,"acknowledge",5,0.86
30,"be right",6,0.19
30,"suggest",17,0.82
30,"confess",20,0.86
30,"confirm",4,0.17
30,"be annoyed",9,0.77
30,"hear",16,0.22
30,"see",19,0.82
30,"discover",14,0.16
30,"know",11,0.52
30,"announce",10,0.8
30,"reveal",3,0.76
30,"say",8,0.46
30,"inform",12,0.2
31,"think",7,0.61
31,"be annoyed",9,0.6
31,"establish",1,0.43
31,"confirm",4,0.77
31,"hear",16,0.38
31,"say",8,0.29
31,"reveal",3,0.58
31,"know",11,0.62
31,"discover",14,0.79
31,"be right",6,0.44
31,"confess",20,0.72
31,"pretend",15,0.65
31,"admit",13,0.27
31,"prove",2,0.54
31,"acknowledge",5,0.63
31,"inform",12,0.78
31,"demonstrate",18,0.42
31,"suggest",17,0.86
31,"see",19,0.41
31,"announce",10,0.87
32,"confirm",4,0.69
32,"admit",13,0.25
32,"inform",12,0.52
32,"acknowledge",5,0.7
32,"demonstrate",18,0.7
32,"pretend",15,0.49
32,"suggest",17,0.74
32,"announce",10,0.67
32,"discover",14,0.59
32,"establish",1,0.39
32,"know",11,0.27
32,"be right",6,0.8
32,"say",8,0.5
32,"think",7,0.58
32,"reveal",3,0.46
32,"see",19,0.76
32,"prove",2,0.55
32,"hear",16,0.79
32,"be annoyed",9,0.5
32,"confess",20,0.65
33,"reveal",3,0.8
33,"admit",13,0.83
33,"say",8,0.85
33,"inform",12,0.74
33,"establish",1,0.81
33,"be right",6,0.63
33,"know",11,0.66
33,"suggest",17,0.77
33,"announce",10,0.94
33,"confirm",4,1
33,"think",7,0.74
33,"be annoyed",9,0.83
33,"hear",16,0.82
33,"pretend",15,0.93
33,"see",19,0.84
33,"confess",20,0.87
33,"discover",14,0.88
33,"demonstrate",18,0.76
33,"prove",2,0.86
33,"acknowledge",5,0.85
35,"hear",16,1
35,"know",11,0.94
35,"inform",12,0.84
35,"admit",13,0.54
35,"acknowledge",5,0.79
35,"discover",14,0.61
35,"see",19,0.57
35,"be right",6,0.34
35,"confess",20,0.34
35,"announce",10,0.42
35,"reveal",3,0.23
35,"confirm",4,0.37
35,"be annoyed",9,0.9
35,"suggest",17,0.2
35,"establish",1,0.27
35,"say",8,0.18
35,"think",7,0.16
35,"pretend",15,0.11
35,"prove",2,0.19
35,"demonstrate",18,0.27
36,"hear",16,0.08
36,"say",8,0.45
36,"confirm",4,0.29
36,"discover",14,0.21
36,"see",19,0.47
36,"suggest",17,0.81
36,"think",7,0.33
36,"establish",1,0.77
36,"prove",2,0.49
36,"be annoyed",9,0.75
36,"admit",13,0.76
36,"inform",12,0.5
36,"know",11,0.3
36,"demonstrate",18,0.6
36,"reveal",3,0.35
36,"confess",20,0.81
36,"be right",6,0.58
36,"pretend",15,0.75
36,"announce",10,0.37
36,"acknowledge",5,0.44
37,"confess",20,0.63
37,"prove",2,0.65
37,"think",7,0.67
37,"confirm",4,0.79
37,"be annoyed",9,0.73
37,"say",8,0.73
37,"admit",13,0.71
37,"know",11,0.67
37,"reveal",3,0.68
37,"hear",16,0.53
37,"pretend",15,0.79
37,"inform",12,0.71
37,"see",19,0.76
37,"demonstrate",18,0.74
37,"be right",6,0.74
37,"acknowledge",5,0.65
37,"announce",10,0.64
37,"establish",1,0.7
37,"suggest",17,0.76
37,"discover",14,0.78
38,"pretend",15,0.64
38,"confess",20,0.68
38,"confirm",4,0.62
38,"discover",14,0.65
38,"admit",13,0.62
38,"inform",12,0.68
38,"be right",6,0.69
38,"hear",16,0.6
38,"see",19,0.68
38,"be annoyed",9,0.68
38,"establish",1,0.64
38,"prove",2,0.73
38,"acknowledge",5,0.79
38,"reveal",3,0.73
38,"think",7,0.72
38,"announce",10,0.67
38,"demonstrate",18,0.65
38,"say",8,0.69
38,"know",11,0.71
38,"suggest",17,0.73
39,"confirm",4,0.96
39,"inform",12,0.75
39,"acknowledge",5,0.83
39,"announce",10,0.73
39,"think",7,0.7
39,"say",8,0.78
39,"prove",2,0.33
39,"admit",13,0.85
39,"know",11,0.74
39,"see",19,0.6
39,"be annoyed",9,0.85
39,"be right",6,0.89
39,"pretend",15,0.72
39,"reveal",3,0.7
39,"confess",20,0.59
39,"hear",16,0.86
39,"establish",1,0.89
39,"suggest",17,0.9
39,"discover",14,0.75
39,"demonstrate",18,0.83
40,"confirm",4,0.51
40,"inform",12,1
40,"reveal",3,0.51
40,"pretend",15,0
40,"know",11,1
40,"confess",20,0.5
40,"be annoyed",9,1
40,"announce",10,0.51
40,"see",19,0.5
40,"suggest",17,0.52
40,"establish",1,0.49
40,"demonstrate",18,0.49
40,"admit",13,0.49
40,"think",7,0.51
40,"hear",16,0.51
40,"prove",2,0.51
40,"discover",14,0.5
40,"acknowledge",5,0.5
40,"be right",6,1
40,"say",8,0.53
41,"pretend",15,0.69
41,"confess",20,0.84
41,"say",8,0.29
41,"prove",2,0.72
41,"think",7,0.43
41,"discover",14,0.79
41,"be right",6,0.21
41,"hear",16,0.72
41,"see",19,0.23
41,"inform",12,0.19
41,"demonstrate",18,0.22
41,"confirm",4,0.97
41,"acknowledge",5,0.16
41,"know",11,0.75
41,"be annoyed",9,0.77
41,"reveal",3,0.91
41,"announce",10,0.78
41,"admit",13,0.31
41,"suggest",17,0.83
41,"establish",1,0.15
42,"know",11,1
42,"admit",13,0.37
42,"be annoyed",9,0.74
42,"prove",2,0.42
42,"think",7,0.97
42,"see",19,0.11
42,"inform",12,0.56
42,"acknowledge",5,0.82
42,"demonstrate",18,0.35
42,"hear",16,0.95
42,"say",8,0.29
42,"discover",14,0.82
42,"confess",20,0.35
42,"announce",10,0.95
42,"pretend",15,0.56
42,"confirm",4,0.94
42,"suggest",17,0.72
42,"reveal",3,0.79
42,"establish",1,0.37
42,"be right",6,0.91
43,"reveal",3,0.94
43,"confess",20,0.92
43,"pretend",15,0.94
43,"hear",16,0.35
43,"admit",13,0.28
43,"announce",10,0.9
43,"know",11,0.85
43,"suggest",17,0.21
43,"inform",12,0.91
43,"prove",2,0.85
43,"see",19,0.85
43,"confirm",4,0.24
43,"discover",14,0.27
43,"be annoyed",9,0.9
43,"say",8,0.92
43,"acknowledge",5,0.9
43,"think",7,0.83
43,"establish",1,0.84
43,"demonstrate",18,0.83
43,"be right",6,0.72
44,"admit",13,0.05
44,"prove",2,0.48
44,"suggest",17,0.07
44,"pretend",15,0.02
44,"establish",1,0.5
44,"know",11,0.98
44,"be right",6,0.04
44,"announce",10,0.97
44,"discover",14,0.55
44,"see",19,0.99
44,"confess",20,0.71
44,"confirm",4,0.07
44,"say",8,0.05
44,"hear",16,0.03
44,"inform",12,0.97
44,"reveal",3,0.98
44,"be annoyed",9,0.97
44,"acknowledge",5,0.51
44,"demonstrate",18,0.33
44,"think",7,0.07
46,"see",19,0.8
46,"establish",1,0.53
46,"be annoyed",9,0.71
46,"announce",10,0.24
46,"be right",6,0.59
46,"think",7,0.87
46,"confess",20,0.83
46,"demonstrate",18,0.24
46,"know",11,0.34
46,"suggest",17,0.82
46,"say",8,0.6
46,"pretend",15,0.88
46,"inform",12,0.76
46,"prove",2,0.61
46,"hear",16,0.8
46,"reveal",3,0.82
46,"discover",14,0.84
46,"admit",13,0.56
46,"confirm",4,0.78
46,"acknowledge",5,0.46
